bug_id,cat,report_count,extra,defect_method,bug_file,source_method_count,source_methods,source_lines,leak_roots,source_symbols,source_origins,source_confidence
883,C,9,8,restoreFiles,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-883.java,7,convertContentToString|exportProject|extractImportParametersFromRequest|getJsonContent|getProjectDescription|restoreFiles|toZipFile,93|173|195|288|289|332|341|363|368,convertContentToString|exportProject|extractImportParametersFromRequest|getJsonContent|getProjectDescription|restoreFiles|toZipFile,datainputstream|fileoutputstream|getinputstream|getoutputstream|zipfile,factory|line_pattern|new,high|low
948,C,9,8,initializeAndRunCoref,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-948.java,5,getConllEvalSummary|initializeAndRunCoref|runAndScoreCoref|runAndScoreCorefDist|runConllEval,369|433|547|556|1074|1075|1084|1085|1087,getConllEvalSummary|initializeAndRunCoref|runAndScoreCoref|runAndScoreCorefDist|runConllEval,fileinputstream|printwriter|processbuilder|stringoutputstream,new,high
881,C,9,8,putFile,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-881.java,4,getFileAsInputStream|getFileAsReader|getZipFile|putFile,466|482|483|484|503|526|584|591|617,getFileAsInputStream|getFileAsReader|getZipFile|putFile,bufferedwriter|fileoutputstream|getinputstream|linenumberreader|openstream|outputstreamwriter|zipfile,factory|new,high
702,C,8,7,writeToBinaryFile,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-702.java,7,getFileAsBytes|getFileAsString|getReaderAsString|getStreamAsString|readFromBinaryFile|writeToBinaryFile|writeToTextFile,132|137|143|160|193|201|213|225,getFileAsBytes|getFileAsString|getReaderAsString|getStreamAsString|readFromBinaryFile|writeToBinaryFile|writeToTextFile,bufferedreader|datainputstream|dataoutputstream|fileinputstream|filewriter|inputstreamreader|printwriter,new,high
73,C,8,7,execute,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-73.java,2,execute|executeProxyLoadScan,1620|1642|2235|2321|2575|2740|2743|3329,execute|executeProxyLoadScan,bufferedoutputstream|bufferedreader|fileoutputstream|open|openconnection|singlethreadexecutor,factory|line_pattern|new,high|low|medium
1193,C,7,6,persistKeyPairMap,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1193.java,7,createKeystore|persist|persistCertMap|persistKeyPairMap|persistPublicKeyMap|persistSubjectMap|reloadKeystore,312|347|421|549|568|596|613,createKeystore|persist|persistCertMap|persistKeyPairMap|persistPublicKeyMap|persistSubjectMap|reloadKeystore,fileinputstream|fileoutputstream|objectoutputstream,new,high
1333,C,7,6,rebuildJournal,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1333.java,7,get|getString|inputStreamToString|newInputStream|newOutputStream|open|rebuildJournal,213|333|395|639|729|741|768,get|getString|inputStreamToString|newInputStream|newOutputStream|open|rebuildJournal,bufferedwriter|fileinputstream|fileoutputstream|inputstream|inputstreamreader,factory|new,high
756,D,7,6,writeDOTFile,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-756.java,5,getOutputFileWriter|load|loadFromString|loadGrammar|loadImportedGrammar,568|598|606|613|691|694|699,getOutputFileWriter|load|loadFromString|loadGrammar|loadImportedGrammar,antlrfilestream|antlrstringstream|bufferedwriter|commontokenstream|fileoutputstream|outputstreamwriter,new,high
1173,C,7,6,generateScheme,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-1173.java,5,copyFileWithPIReplaced|execute|generateScheme|outputSubjectScheme|readMapFromXML,121|131|134|228|294|431|488,copyFileWithPIReplaced|execute|generateScheme|outputSubjectScheme|readMapFromXML,ditavalreader|ditawriter|fileinputstream|fileoutputstream|subjectschemereader,new,high
289,C,7,6,writeFile,benchmark/Java/jleaks_mlk_198/bug_files/jleaks-bug-289.java,4,copyFile|getExceptionMessage|readFile|writeFile,38|52|60|64|68|100|124,copyFile|getExceptionMessage|readFile|writeFile,bufferedreader|fileinputstream|fileoutputstream|getchannel|inputstreamreader|printwriter,factory|new,high|medium
