bug_id,report_count,defect_method,primary_defect_method,reported_methods
3,4,readFromFile,readFromFile,init|readFromFile
12,3,main,main,main
44,2,load,loadTemplateFile,load|loadTemplateFile
55,6,createJar,launchApp,createJar|getYarnDeployDependencies|launchApp|main
56,6,visitFile,launchApp,createJar|getYarnDeployDependencies|launchApp|main
61,4,updateSSLKeystore,updateSSLKeystore,doInTransactionWithoutResult|templateDetailsInitIfNotExist|updateSSLKeystore|writeKeyToDisk
73,8,execute,executeProxyLoadScan,execute|executeProxyLoadScan
116,2,getCompressedSize,getIterator,getCompressedSize|getIterator
177,5,loadFromInputStream,load,load|loadFromFile|loadFromInputStream|loadFromObj|saveToObj
186,8,enterprise/tomcat5/src/org/netbeans/modules/tomcat5/deploy/TomcatManagerImpl.javacreateTempContextXml,createTempContextXml,createTempContextXml|encodePath|incrementalRedeploy|initialDeploy|install|run
187,5,execute,generateMissingQuestions,execute|generateMissingQuestions|generateTemplateFile|resolveEntity
202,3,open,closeAsync,closeAsync|open|readAsync|readUnconfirmedAsync
206,5,load,loadClass,getResourceAsStream|load|loadClass
207,4,loadClass,loadClass,load|loadClass
220,3,loadBytesRaw,copyFile,copyFile|loadBytesRaw
234,4,getSecondaryServicePrincipalClientID,cmdInvocation,cmdInvocation|getSecondaryServicePrincipalClientID|getSecondaryServicePrincipalSecret
240,8,pushUpload,openSSHTermOnSystem,addPubKey|authAndAddPubKey|openSSHTermOnSystem|pushUpload
247,2,waitForProcessToComplete,doExecute,doExecute|processInput
289,6,writeFile,readFile,getExceptionMessage|readFile|writeFile
295,3,extractEntry,extractEntry,extract|extractEntry|update
306,2,partialContentResponse,partialContentResponse,fullContentResponse|partialContentResponse
307,2,partialContentResponse,partialContentResponse,fullContentResponse|partialContentResponse
343,2,loadPropertyFile,loadPropertyFile,loadPropertyFile
373,3,writeExtraDdl,createDdlWriter,createDdlWriter|writeExtraDdl|writeExtraPlatformDdl|writeMigrationXml
413,3,create,create,activate|create|mapFile
439,2,createConfigFor,createConfigFor,createConfigFor
441,2,write,write,write
447,5,read,getMd5Hash,actualCopy|getFileAsBytes|getMd5Hash|parseXML|read
451,5,readContent,readContent,readContent|writeContent
454,4,readDefaultMarkdown,readMarkdown,readDefaultMarkdown|readMarkdown
463,2,parsedTemplateForResource,arsedTemplateForResource(,arsedTemplateForResource(
471,2,readFile,readFile,readFile
480,3,process,process,process
484,2,uploadJobResources,loadJarFromInputStream,loadJarFromInputStream|uploadJobResources
495,2,getPersistence,saveTimeStampCache,loadTimeStampCache|saveTimeStampCache
499,3,getFailingLine,createPrintableStackTrace,createPrintableStackTrace|getFailingLine|printScriptStackTrace
504,2,getClientDetail,makeGetter,getClientDetail|makeGetter
505,2,ClientGet,makeGetter,getClientDetail|makeGetter
530,6,installPlugin,unzipPlugin,getElementValue|installPlugin|loadPlugin|start|unzipPlugin
536,5,save,load,load|save
548,4,BundleSpiProvidersLoader.call,getPackageResources,call|getPackageResources|getResourceBundle
552,5,dispose,getInputStream,bytes|dispose|getInputStream|text
556,2,extract,extract,extract
560,3,write,init,init|write|writeFile
561,2,readClassfile,openClassfile,openClassfile
566,2,locate,locate,locate
575,3,loadAsString,read,loadAsString|openSource|read|write
610,2,loadDefaultProperties,loadDefaultProperties,loadDefaultProperties
611,3,run,getXMLDoc,getXMLDoc|run
632,2,load,parseInputStream,load|parseInputStream
634,2,parseConfig,openSource,openSource|parseConfig
635,5,build,ing ,fig(Path fi|ing |th na
638,3,compile,compile,compile|writeZone
644,2,readFileRaw,readFileRaw,readFileRaw|writeFile
651,3,cacheThumbnail,getLength,cacheThumbnail|getLength|writeInternalMedia
655,2,request,request,request
695,2,writeChangeLog,writeChangeLog,writeChangeLog
702,9,writeToBinaryFile,writeToTextFile,copy|getFileAsBytes|getFileAsString|getReaderAsString|getStreamAsString|readFromBinaryFile|writeToBinaryFile|writeToTextFile
705,2,writeInfoFile,writeInfoFile,writeInfoFile
706,2,readBlacklist,readBlacklist,readBlacklist|writeExamples
739,2,getBytesFromFile,processFile,onStart|processFile
756,7,writeDOTFile,getOutputFileWriter,getOutputFileWriter|load|loadFromString|loadGrammar|loadImportedGrammar|writeDOTFile
768,2,checkin,loadIfcSchema,init|loadIfcSchema
780,3,stopLoop,stopLoop,releaseFifoOut|run|stopLoop
782,4,saveToFile,untar,importProject|saveToFile|untar
816,3,readObject,readObject,getOutputStream|readObject
823,7,getWmicResult,getWmicResult,getFullWmicResult|getWmicResult
843,7,copyToFile,copyToStream,copyToStream|readSvg|readText
845,2,cacheBytecode,getBytecode,cacheBytecode|getBytecode
854,3,getConvertedValue,getConvertedValue,getConvertedValue|renderImage
856,3,makeJar,makeJar,makeJar|makeJvmConfig
873,4,generateFromTemplate,generateFromTemplate,generateFieldEncodeDecode|generateFromTemplate|generatePropertyEncodeDecode
881,9,putFile,putFile,getFileAsInputStream|getFileAsReader|getZipFile|hasFile|putFile
883,9,restoreFiles,restoreFiles,convertContentToString|exportProject|extractImportParametersFromRequest|getJsonContent|getProjectDescription|importProject|restoreFiles|toZipFile
895,2,importKFF,es c,e kffDir)|es c
913,3,generateReport,generateReport,generateReport
919,3,readString,copyToFile,copyToFile|readBytes|readString
920,3,write,getClassPath,getClassPath|read|write
930,3,redirectOutput,run,redirectOutput|run
940,2,get,payloadToInputStream,execute|payloadToInputStream
948,9,initializeAndRunCoref,getConllEvalSummary,getConllEvalSummary|initializeAndRunCoref|runAndScoreCoref|runAndScoreCorefDist|runConllEval
963,2,writeDataToFile,writeDataToFile,writeDataToFile
964,4,getModifiedLogs,getModifiedLogs,appendToFile|getModifiedLogs
986,2,cacheGameProperties,cacheGameProperties,cacheGameProperties|loadCachedGamePropertiesInto
1004,4,writeBinaryCheckpoints,writeBinaryCheckpoints,writeBinaryCheckpoints|writeTextualCheckpoints
1010,2,writeTestFile,writeTestFile,compileTestFile|writeTestFile
1011,4,visualize,visualize,shutdown|visualize
1021,2,read,args,args|read
1032,2,parse,parse,getAnnexBFrameHeader|parse
1033,2,testOnFile,convertToCSVfile,convertToCSVfile|testOnFile
1037,4,handleDownload,writeAjaxPage,criticalNotification|handleRequest|serveStaticResources|writeAjaxPage
1047,4,readAll,readAll,createReader|getLines|readAll|utf8ByteBuffer
1072,2,execute,execute,execute
1074,2,toXML,toXML,fromXML|toXML
1080,2,load,save,load|save
1081,2,save,save,load|save
1085,2,isKali,isKali,getManifest|getReleaseCreateDate|isKali
1106,3,createExcludeFile,stRegisterNMWithDiffUnits(),eateExcludeFile(S|stAppSubmitWithSubmissionPreProcessor()|stRegisterNMWithDiffUnits()
1110,2,serialize,deserialize,deserialize|serialize
1126,5,zipFileSize,zipDoesContainDir,execCommand|unTarUsingJava|unTarUsingTar|zipDoesContainDir|zipFileSize
1173,6,generateScheme,execute,copyFileWithPIReplaced|execute|generateScheme|outputSubjectScheme
1174,4,parseResponse,parseResponse,googleDelete|parseResponse|throwIOExceptionOnErrorResponse|verifyFileSystemConfiguration
1177,2,execute,execute,execute
1182,7,addFile,writeModuleSrcZipToOverallSrcZip,addFile|addJarEntry|addZipEntry|close|processJarFile|writeModuleSrcZipToOverallSrcZip
1193,7,persistKeyPairMap,persist,createKeystore|persist|persistCertMap|persistKeyPairMap|persistPublicKeyMap|persistSubjectMap|reloadKeystore
1263,2,loadExistingFile,trimLastLine,loadExistingFile|trimLastLine
1333,7,rebuildJournal,getString,get|getString|inputStreamToString|newInputStream|newOutputStream|open|rebuildJournal
1341,2,saveDgmInfo,saveDgmInfo,loadDgmInfo|saveDgmInfo
1384,5,loadTerms,loadTerms,loadTerms
1388,7,copyStreamToFile,copyFile,canWriteTo|copyFile|copyStreamToFile|copyURItoFile|getStringFromFile
1389,7,getStringFromFile,copyFile,canWriteTo|copyFile|copyStreamToFile|copyURItoFile|getStringFromFile
1404,2,load,load,load
1406,2,save,save,save
1452,3,sendXMPP,sendXMPP,sendXMPP
1459,5,compareFileMagic,getOutputWriter,compareFileMagic|dumpConfig|getContentHandler|getOutputWriter|process
1508,4,addBootFile,addBootFile,addBootFile|write
1510,2,read,read,read|write
1512,5,writeRextToFile,ex1,ex1|ex2|ex4|ex6|writeRextToFile
1517,2,createTarGzOfDirectory,unTar,addFileToTarGz|unTar
1523,4,getWmicResult,getWmicResult,getWmicResult
1529,4,concat,concat,analyse|concat
