bug_id,defect_method,method_name,method_uid,report_count,unique_position_count,position_duplicate_extra,exact_duplicate_extra,positions,gt_method_hit
240,pushUpload,openSSHTermOnSystem,"com.keybox.manage.util.SSHUtil.openSSHTermOnSystem(String,String,Long,Long,HostSystem,Map)",4,4,0,0,460|476|487|493,0
186,enterprise/tomcat5/src/org/netbeans/modules/tomcat5/deploy/TomcatManagerImpl.javacreateTempContextXml,run,org.netbeans.modules.tomcat5.deploy.TomcatManagerImpl.run(),3,4,0,0,510|512|559|574,0
536,save,load,spoon.support.SerializationModelStreamer.load(InputStream),3,3,0,0,61|72|77,0
823,getWmicResult,getFullWmicResult,"com.sun.enterprise.registration.impl.environment.WindowsSystemEnvironment.getFullWmicResult(String,String,String)",3,3,0,0,218|219|229,0
854,getConvertedValue,getConvertedValue,"org.primefaces.component.imagecropper.ImageCropperRenderer.getConvertedValue(FacesContext,UIComponent,Object)",3,4,0,0,163|172|179|185,1
913,generateReport,generateReport,"org.sleuthkit.autopsy.report.ReportKML.generateReport(String,ReportProgressPanel)",3,3,0,0,105|271|331,1
1523,getWmicResult,getWmicResult,"com.sun.servicetag.WindowsSystemEnvironment.getWmicResult(String,String,String)",3,5,0,0,106|107|110|111|118,1
186,enterprise/tomcat5/src/org/netbeans/modules/tomcat5/deploy/TomcatManagerImpl.javacreateTempContextXml,createTempContextXml,"org.netbeans.modules.tomcat5.deploy.TomcatManagerImpl.createTempContextXml(String,Context)",2,2,0,0,352|358,0
187,execute,execute,org.netbeans.nbbuild.Arch.execute(),2,2,0,0,169|476,1
187,execute,generateMissingQuestions,"org.netbeans.nbbuild.Arch.generateMissingQuestions(String,SortedSet)",2,2,0,0,520|542,0
234,getSecondaryServicePrincipalClientID,cmdInvocation,"com.azure.management.samples.Utils.cmdInvocation(String,boolean)",2,2,0,0,1422|1425,0
441,write,write,"org.geoserver.geopkg.GeoPackageGetFeatureOutputFormat.write(FeatureCollectionResponse,OutputStream,Operation)",2,2,0,0,75|105,1
447,read,parseXML,org.odk.collect.android.utilities.FileUtils.parseXML(File),2,2,0,0,288|296,0
463,parsedTemplateForResource,arsedTemplateForResource(,com.google.auto.value.processor.emplateVars .arsedTemplateForResource((tring),2,2,0,0,100|105,0
480,process,process,"org.h2.tools.CreateCluster.process(String,String,String,String,String)",2,4,0,0,114|117|158|159,1
548,BundleSpiProvidersLoader.call,getPackageResources,"org.glassfish.jersey.internal.OsgiRegistry.getPackageResources(String,ClassLoader)",2,2,0,0,321|328,0
556,extract,extract,"org.jbake.app.ZipUtil.extract(InputStream,File)",2,2,0,0,26|40,1
566,locate,locate,"org.skife.jdbi.v2.ClasspathStatementLocator.locate(String,StatementContext)",2,3,0,0,69|72|78,1
638,compile,compile,"org.joda.time.tz.ZoneInfoCompiler.compile(File,File)",2,2,0,0,361|447,1
638,compile,writeZone,"org.joda.time.tz.ZoneInfoCompiler.writeZone(File,DateTimeZoneBuilder,DateTimeZone)",2,2,0,0,469|477,0
655,request,request,"com.qcloud.cmq.CMQHttp.request(String,String,String,int)",2,2,0,0,76|87,1
695,writeChangeLog,writeChangeLog,liquibase.dbdoc.ChangeLogWriter.writeChangeLog(DatabaseChangeLog),2,2,0,0,22|41,1
702,writeToBinaryFile,writeToTextFile,"marytts.util.io.FileUtils.writeToTextFile(double,String)",2,2,0,0,193|201,0
823,getWmicResult,getWmicResult,"com.sun.enterprise.registration.impl.environment.WindowsSystemEnvironment.getWmicResult(String,String,String)",2,4,0,0,174|175|178|179,1
881,putFile,getFileAsReader,net.rptools.lib.io.PackedFile.getFileAsReader(String),2,2,0,0,584|591,0
883,restoreFiles,restoreFiles,br.org.scadabr.vo.exporter.ZIPProjectManager.restoreFiles(List),2,2,0,0,173|195,1
948,initializeAndRunCoref,getConllEvalSummary,"edu.stanford.nlp.dcoref.SieveCoreferenceSystem.getConllEvalSummary(String,String,String)",2,2,0,0,1084|1085,0
948,initializeAndRunCoref,runConllEval,"edu.stanford.nlp.dcoref.SieveCoreferenceSystem.runConllEval(String,String,String,String,String)",2,3,0,0,1074|1075|1076,0
1072,execute,execute,com.github.wvengen.maven.proguard.ProGuardMojo.execute(),2,2,0,0,725|816,1
1173,generateScheme,execute,org.dita.dost.module.DebugAndFilterModule.execute(AbstractPipelineInput),2,4,0,0,121|131|134|488,0
1263,loadExistingFile,loadExistingFile,org.apache.jmeter.reporters.ResultCollector.loadExistingFile(),2,2,0,0,374|387,1
1452,sendXMPP,sendXMPP,"org.openhab.action.xmpp.internal.XMPP.sendXMPP(String,String,String)",2,2,0,0,102|131,1
1512,writeRextToFile,ex4,se.lexicon.ExceptionExamples.ex4(),2,2,0,0,114|119,0
1529,concat,concat,com.zarafa.jsconcat.Concatinator.concat(String),2,3,0,0,303|308|310,1
