bug_id,report_count,defect_method,primary_defect_method,reported_methods
3,2,readFromFile,init,init|readFromFile
55,5,createJar,launchApp,createJar|getYarnDeployDependencies|launchApp|main
56,5,visitFile,launchApp,createJar|getYarnDeployDependencies|launchApp|main
61,3,updateSSLKeystore,templateDetailsInitIfNotExist,doInTransactionWithoutResult|templateDetailsInitIfNotExist|updateSSLKeystore
73,7,execute,executeProxyLoadScan,execute|executeProxyLoadScan
186,7,enterprise/tomcat5/src/org/netbeans/modules/tomcat5/deploy/TomcatManagerImpl.javacreateTempContextXml,run,createTempContextXml|encodePath|incrementalRedeploy|run
187,5,execute,generateMissingQuestions,execute|generateMissingQuestions|generateTemplateFile|resolveEntity
202,3,open,readAsync,closeAsync|open|readAsync|readUnconfirmedAsync
220,2,loadBytesRaw,loadBytesRaw,copyFile|loadBytesRaw
234,4,getSecondaryServicePrincipalClientID,cmdInvocation,cmdInvocation|getSecondaryServicePrincipalClientID|getSecondaryServicePrincipalSecret
240,4,pushUpload,openSSHTermOnSystem,addPubKey|authAndAddPubKey|openSSHTermOnSystem|pushUpload
289,5,writeFile,readFile,copyFile|getExceptionMessage|readFile|writeFile
373,3,writeExtraDdl,createDdlWriter,createDdlWriter|generateMigration|writeExtraDdl|writeMigrationXml
413,3,create,create,activate|create|mapFile
447,3,read,getMd5Hash,getMd5Hash|parseXML|read
451,3,readContent,readContent,readContent|writeContent
454,2,readDefaultMarkdown,readMarkdown,readDefaultMarkdown|readMarkdown
530,4,installPlugin,unzipPlugin,loadPlugin|start|unzipPlugin
536,4,save,load,load|save
651,3,cacheThumbnail,cacheThumbnail,cacheThumbnail|getLength|writeInternalMedia
702,7,writeToBinaryFile,writeToTextFile,getFileAsBytes|getFileAsString|getStreamAsString|readFromBinaryFile|writeToBinaryFile|writeToTextFile
756,5,writeDOTFile,getOutputFileWriter,getOutputFileWriter|load|loadFromString|loadImportedGrammar|writeDOTFile
823,6,getWmicResult,getFullWmicResult,getFullWmicResult|getWmicResult
854,3,getConvertedValue,getConvertedValue,getConvertedValue|renderImage
881,6,putFile,getFileAsReader,getFileAsReader|getPaths|getZipFile|putFile|save
883,6,restoreFiles,restoreFiles,exportProject|extractImportParametersFromRequest|getProjectDescription|restoreFiles|setupToImportProject|toZipFile
948,7,initializeAndRunCoref,runAndScoreCorefDist,getConllEvalSummary|initializeAndRunCoref|runAndScoreCorefDist|runConllEval
964,2,getModifiedLogs,getModifiedLogs,appendToFile|getModifiedLogs
1004,2,writeBinaryCheckpoints,writeBinaryCheckpoints,writeBinaryCheckpoints|writeTextualCheckpoints
1011,2,visualize,visualize,shutdown|visualize
1037,4,handleDownload,handleRequest,handleRequest|serveStaticResources|writeAjaxPage
1126,5,zipFileSize,zipDoesContainDir,execCommand|unTarUsingJava|unTarUsingTar|zipDoesContainDir|zipFileSize
1173,5,generateScheme,execute,copyFileWithPIReplaced|execute|generateScheme|outputSubjectScheme
1182,6,addFile,addFile,addFile|addZipEntry|close|processJarFile|writeModuleSrcZipToOverallSrcZip
1193,4,persistKeyPairMap,reloadKeystore,createKeystore|persist|persistKeyPairMap|reloadKeystore
1333,4,rebuildJournal,get,get|inputStreamToString|newOutputStream|rebuildJournal
1508,3,addBootFile,write,addBootFile|write
1512,5,writeRextToFile,ex1,ex1|ex2|ex4|ex6|writeRextToFile
1529,3,concat,concat,analyse|concat
