bug_id,report_count,defect_method,primary_defect_method,reported_methods
3,2,readFromFile,init,init|readFromFile
4,4,close,getConnection,commit|describeParameterEncryption|executeUpdate|getConnection|getGeneratedKeys|getResultSet|init
6,2,doDownloadEpisode,getChannel,createChannel|doDownloadEpisode|getChannel
9,4,tryCompress,toString,pURLConnecti|toBufferedReader|toString|tryCompress
22,2,backup,backup,backup|start
33,2,run,run,run
36,3,retrieveByteBufferFromRemoteMachine,recache,recache|retrieveByteBufferFromRemoteMachine
53,6,getYarnDeployDependencies,launchApp,createJar|getYarnDeployDependencies|launchApp|main|visitFile
55,5,createJar,launchApp,createJar|getYarnDeployDependencies|launchApp|main
56,5,visitFile,launchApp,createJar|getYarnDeployDependencies|launchApp|main
59,2,upgradeResourceCountforAccount,upgradeResourceCount,upgradeResourceCount|upgradeResourceCountforAccount
60,3,upgradeResourceCountforDomain,upgradeResourceCount,upgradeResourceCount|upgradeResourceCountforAccount|upgradeResourceCountforDomain
61,5,updateSSLKeystore,getEnvironmentProperty,doInTransactionWithoutResult|getEnvironmentProperty|templateDetailsInitIfNotExist|updateKeyPairs|updateSSLKeystore
63,3,run,run,run|start
66,5,createVmdataFiles,createVmdataFiles,cleanupNetworkElementCommand|createFileInVR|createVmdataFiles|getStatsRawXML
70,4,main,main,main|migrateData
72,4,updateOverprovisioningPerVm,updateOverprovisioningPerVm,updateOverprovisioningPerVm|upgradeResourceCount|upgradeResourceCountforAccount|upgradeResourceCountforDomain
73,7,execute,executeProxyLoadScan,execute|executeProxyLoadScan
74,2,update,update,update
80,4,runScript,runScript,runScript
94,3,getRows,getRows,checkTableAgainstData|deleteRows|getRows
96,3,run,startAcceptor,createServerSocket|run|startAcceptor
111,3,copyToZipStream,jarDir,createJar|getJar|jarDir|zipDir
116,2,getCompressedSize,getIterator,getCompressedSize|getIterator
172,2,HtmlDocument,Document,Document|main
175,2,close,makeLock,clearLock|makeLock|obtain
177,2,loadFromInputStream,loadFromInputStream,loadFromInputStream|loadFromObj|saveToObj
178,4,loadFromObjectInputStream,load,load|loadFromObj|loadFromObjectInputStream|loadMainDataFromFile|saveToObj
179,3,saveToObj,load,load|loadFromObj|loadMainDataFromFile|saveToObj
180,2,main,main,main
186,7,enterprise/tomcat5/src/org/netbeans/modules/tomcat5/deploy/TomcatManagerImpl.javacreateTempContextXml,createTempContextXml,createTempContextXml|encodePath|incrementalRedeploy|initialDeploy|install|run
187,5,execute,generateMissingQuestions,execute|generateMissingQuestions|generateTemplateFile|resolveEntity
189,3,testDebugLogs,testDebugLogs,testDebugLogs|testFailedQuery|testLogSampling
195,8,testGetConnectionsThrottledForSameUrl,testGlobalPhoenixMetricsForQueries,call|testGlobalPhoenixMetricsForQueries|testGlobalPhoenixMetricsForUpsertSelect|testMetricsForUpsert|testNoMetricsCollectedForConnection|testOverallQueryMetricsForSelect|testReadMetricsForSelect|upsertRows
202,3,open,closeAsync,closeAsync|open|readAsync|readUnconfirmedAsync
206,2,load,loadClass,getResourceAsStream|load|loadClass
207,3,loadClass,getResourceAsStream,getResourceAsStream|load|loadClass
209,5,getSuperTypes,getSuperTypes,doesTableExist|getAttributes|getColumns|getProcedureColumns|getProcedures|getQueryFieldsFromDatabaseMetaData|getSuperTypes|getTables
217,2,main,main,main
220,2,loadBytesRaw,loadBytesRaw,copyFile|loadBytesRaw
225,2,getLoggedPlayers,setupConnection,saveAuth|setupConnection|updatePassword
226,4,isAuthAvailable,getConnection,getConnection|migrateLastLoginColumnToTimestamp|saveAuth|setupConnection|updatePassword|updateSession
229,2,createAppLoaderImportZip,createAppLoaderImportZip,createAppLoaderImportZip
230,5,downloadZip,getConfigXmlFile,downloadZip|getConfigXmlFile|importCity
231,3,unZip,unZip,ddHistory(|mportExcel(|unZip
232,6,addFile,accumulatedExtensionPointSuffixes,accumulatedExtensionPointSuffixes|addFile|addJarEntry|addZipEntry|processJarFile|writeModuleSrcZipToOverallSrcZip
234,4,getSecondaryServicePrincipalClientID,cmdInvocation,cmdInvocation|getSecondaryServicePrincipalClientID|getSecondaryServicePrincipalSecret
240,5,pushUpload,openSSHTermOnSystem,addPubKey|authAndAddPubKey|openSSHTermOnSystem|pushUpload
