bug_id,defect_method,method_name,method_uid,report_count,unique_position_count,position_duplicate_extra,exact_duplicate_extra,positions,gt_method_hit
476,readMetaData,readMetaData,org.h2.table.TableLink.readMetaData(),2,1,1,0,177,1
481,tryUnlockDatabase,tryUnlockDatabase,"org.h2.store.FileLister.tryUnlockDatabase(List,String)",4,4,0,0,42|44|52|53,1
543,subsetDoubleVector,generateRotatedImage,"edu.harvard.iq.dataverse.dataaccess.TabularSubsetGenerator.generateRotatedImage(File,int,int)",4,6,0,0,1147|1149|1182|1188|1233|1260,0
579,remotePost,remotePost,hudson.Main.remotePost(String),4,6,0,0,97|122|138|140|152|173,1
586,launch,launch,"hudson.os.windows.ManagedWindowsServiceLauncher.launch(SlaveComputer,TaskListener)",4,6,0,0,216|242|255|312|363|367,1
701,injectedStream,injectedStream,com.machinepublishers.jbrowserdriver.config.StreamHandler.injectedStream(HttpURLConnection),4,5,0,0,259|267|269|283|290,1
823,getWmicResult,getFullWmicResult,"com.sun.enterprise.registration.impl.environment.WindowsSystemEnvironment.getFullWmicResult(String,String,String)",4,4,0,0,218|219|223|229,0
1030,answer,answer,"net.pms.network.RequestV2.answer(HttpResponse,MessageEvent,boolean,StartStopListenerDelegate)",4,5,0,0,371|407|453|880|988,1
66,createVmdataFiles,createVmdataFiles,"com.cloud.hypervisor.xenserver.resource.CitrixResourceBase.createVmdataFiles(String,List,String)",3,7,0,0,5057|5058|5077|5079|5080|5082|5083,1
70,main,main,com.cloud.utils.crypt.EncryptionSecretKeyChanger.main(String),3,3,0,0,109|147|184,1
230,downloadZip,getConfigXmlFile,com.axelor.apps.base.service.imports.ImportCityServiceImpl.getConfigXmlFile(String),3,3,0,0,88|91|99,0
319,createConnection,createConnection,sun.rmi.transport.tcp.TCPChannel.createConnection(),3,4,0,0,221|245|309|379,1
330,onCommand,onCommand,"com.scarsz.discordsrv.DiscordSRV.onCommand(CommandSender,Command,String,String)",3,4,0,0,340|341|365|370,1
352,main,main,com.sun.java.util.jar.pack.Driver.main(String),3,8,0,0,153|155|204|206|285|299|320|339,1
368,processUploadableImport,processUploadableImport,"org.dspace.app.itemimport.ItemImport.processUploadableImport(String,Collection,Collection,Context)",3,5,0,0,2214|2229|2243|2275|2276,1
381,prepareConfiguration,startJettyRunner,org.eclipse.jetty.maven.plugin.JettyRunForkedMojo.startJettyRunner(),3,3,0,0,702|708|726,0
385,generateClasses,generateBuildFlags,com.ibm.j9ddr.tools.PointerGenerator.generateBuildFlags(StructureDescriptor),3,6,0,0,184|190|213|277|283|339,0
430,initDatabaseType,initSqlSessionFactory,org.flowable.common.engine.impl.AbstractEngineConfiguration.initSqlSessionFactory(),3,3,0,0,772|793|797,0
536,save,load,spoon.support.SerializationModelStreamer.load(InputStream),3,3,0,0,61|72|77,0
542,isFITSFile,etermineFileType(,"edu.harvard.iq.dataverse.util.FileUtil.etermineFileType((ile,tring)",3,3,0,0,523|529|545,0
667,extractLibrary,extractLibrary,com.badlogic.gdx.jnigen.JniGenSharedLibraryLoader.extractLibrary(String),3,3,0,0,117|127|132,1
718,spawnReporterThread,run,org.mozilla.mozstumbler.Reporter.run(),3,4,0,0,214|229|230|252,0
743,onStop,run,com.mirth.connect.connectors.tcp.TcpReceiver.run(),3,3,0,0,157|168|176,0
759,buildCategoryDataSet,createGraph,"org.opennms.netmgt.rrd.rrdtool.JniRrdStrategy.createGraph(String,File)",3,3,0,0,403|411|418,0
761,buildCategoryDataSet,createGraph,"org.opennms.netmgt.rrd.rrdtool.JniRrdStrategy.createGraph(String,File)",3,3,0,0,403|411|418,0
763,buildCategoryDataSet,createGraph,"org.opennms.netmgt.rrd.rrdtool.JniRrdStrategy.createGraph(String,File)",3,3,0,0,403|411|418,0
770,setTime,downloadReplicationFile,"org.openstreetmap.osmosis.replication.v0_6.BaseReplicationDownloader.downloadReplicationFile(String,URL)",3,5,0,0,104|107|108|111|114,0
771,downloadReplicationFile,downloadChangesetFile,"org.openstreetmap.osmosis.replication.v0_6.IntervalDownloader.downloadChangesetFile(String,URL)",3,3,0,0,172|175|179,0
823,getWmicResult,getWmicResult,"com.sun.enterprise.registration.impl.environment.WindowsSystemEnvironment.getWmicResult(String,String,String)",3,5,0,0,174|175|178|179|186,1
913,generateReport,generateReport,"org.sleuthkit.autopsy.report.ReportKML.generateReport(String,ReportProgressPanel)",3,3,0,0,105|271|331,1
1117,getMode,main,org.apache.zookeeper.test.system.GenerateLoad.main(String),3,3,0,0,594|648|668,0
1142,stopExecutors,start0,org.apache.ignite.internal.IgnitionEx.IgniteNamedInstance.start0(GridStartContext),3,5,0,0,1778|1792|1822|1870|1899,0
